==32189== NVPROF is profiling process 32189, command: ./shared/pyrdown.o 768
==32189== Profiling application: ./shared/pyrdown.o 768
==32189== Warning: Found 5 invalid records in the result.
==32189== Warning: This can happen if device ran out of memory or if a device kernel was stopped due to an assertion.
==32189== Profiling result:
"Time(%)","Time","Calls","Avg","Min","Max","Name"
%,us,,us,us,us,
89.728410,172.790000,6,28.798000,2.330000,111.687000,"[CUDA memcpy HtoD]"
10.271590,19.780000,1,19.780000,19.780000,19.780000,"[CUDA memset]"

==32189== API calls:
"Time(%)","Time","Calls","Avg","Min","Max","Name"
%,us,,us,us,us,
96.440008,118981.144000,2,59490.572000,270.102000,118711.042000,"cudaMallocPitch"
2.495366,3078.614000,3,1026.204000,12.975000,2944.675000,"cudaMemcpy2D"
0.356458,439.774000,2,219.887000,200.367000,239.407000,"cudaGetDeviceProperties"
0.260339,321.188000,6,53.531000,5.925000,281.082000,"cudaMalloc"
0.170137,209.903000,91,2.306000,0.100000,91.218000,"cuDeviceGetAttribute"
0.122335,150.929000,1,150.929000,150.929000,150.929000,"cuDeviceTotalMem"
0.040174,49.564000,1,49.564000,49.564000,49.564000,"cudaMemcpyToSymbol"
0.038040,46.931000,3,15.643000,10.249000,24.641000,"cudaLaunch"
0.026447,32.628000,1,32.628000,32.628000,32.628000,"cuDeviceGetName"
0.024972,30.809000,4,7.702000,3.548000,13.968000,"cudaMemcpy"
0.020152,24.862000,1,24.862000,24.862000,24.862000,"cudaMemset2D"
0.002367,2.920000,17,0.171000,0.104000,0.481000,"cudaSetupArgument"
0.001615,1.992000,3,0.664000,0.438000,1.114000,"cudaConfigureCall"
0.001023,1.262000,3,0.420000,0.115000,0.941000,"cuDeviceGetCount"
0.000568,0.701000,3,0.233000,0.108000,0.370000,"cuDeviceGet"
